season,week,team,position,player,depth_rank,depth_size,status,active
2025,1,Arizona Cardinals,QB,Kyler Murray,1,2,,True
2025,1,Arizona Cardinals,QB,Jacoby Brissett,2,2,,True
2025,1,Arizona Cardinals,RB,James Conner,1,4,,True
2025,1,Arizona Cardinals,RB,Trey Benson,2,4,,True
2025,1,Arizona Cardinals,RB,Emari Demercado,3,4,,True
2025,1,Arizona Cardinals,RB,Bam Knight,4,4,,True
2025,1,Arizona Cardinals,WR,Marvin Harrison Jr.,1,6,,True
2025,1,Arizona Cardinals,WR,Michael Wilson,2,6,,True
2025,1,Arizona Cardinals,WR,Zay Jones,3,6,,True
2025,1,Arizona Cardinals,WR,Greg Dortch,4,6,,True
2025,1,Arizona Cardinals,WR,Xavier Weaver,5,6,,True
2025,1,Arizona Cardinals,WR,Trishton Jackson,6,6,,True
2025,1,Arizona Cardinals,TE,Trey McBride,1,4,,True
2025,1,Arizona Cardinals,TE,Elijah Higgins,2,4,,True
2025,1,Arizona Cardinals,TE,Tip Reiman,3,4,,True
2025,1,Arizona Cardinals,TE,Travis Vokolek,4,4,,True
2025,1,Atlanta Falcons,QB,Michael Penix Jr.,1,3,,True
2025,1,Atlanta Falcons,QB,Kirk Cousins,2,3,,True
2025,1,Atlanta Falcons,QB,Emory Jones,3,3,,True
2025,1,Atlanta Falcons,RB,Bijan Robinson,1,3,,True
2025,1,Atlanta Falcons,RB,Tyler Allgeier,2,3,,True
2025,1,Atlanta Falcons,RB,Nathan Carter,3,3,,True
2025,1,Atlanta Falcons,WR,Drake London,1,7,,True
2025,1,Atlanta Falcons,WR,Darnell Mooney,2,7,,True
2025,1,Atlanta Falcons,WR,Ray-Ray McCloud III,3,7,,True
2025,1,Atlanta Falcons,WR,KhaDarel Hodge,4,7,,True
2025,1,Atlanta Falcons,WR,Casey Washington,5,7,,True
2025,1,Atlanta Falcons,WR,Jamal Agnew,6,7,,True
2025,1,Atlanta Falcons,WR,David Sills V,7,7,,True
2025,1,Atlanta Falcons,TE,Kyle Pitts Sr.,1,4,,True
2025,1,Atlanta Falcons,TE,Charlie Woerner,2,4,,True
2025,1,Atlanta Falcons,TE,Teagan Quitoriano,3,4,,True
2025,1,Atlanta Falcons,TE,Feleipe Franks,4,4,,True
2025,1,Baltimore Ravens,QB,Lamar Jackson,1,2,,True
2025,1,Baltimore Ravens,QB,Cooper Rush,2,2,,True
2025,1,Baltimore Ravens,RB,Derrick Henry,1,4,,True
2025,1,Baltimore Ravens,RB,Justice Hill,2,4,,True
2025,1,Baltimore Ravens,RB,Keaton Mitchell,3,4,,True
2025,1,Baltimore Ravens,RB,Rasheen Ali,4,4,,True
2025,1,Baltimore Ravens,WR,Zay Flowers,1,7,,True
2025,1,Baltimore Ravens,WR,Rashod Bateman,2,7,,True
2025,1,Baltimore Ravens,WR,DeAndre Hopkins,3,7,,True
2025,1,Baltimore Ravens,WR,Tylan Wallace,4,7,,True
2025,1,Baltimore Ravens,WR,Devontez Walker,5,7,,True
2025,1,Baltimore Ravens,WR,LaJohntay Wester,6,7,,True
2025,1,Baltimore Ravens,WR,Dayton Wade,7,7,,True
