date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site
2025-10-19,Jacksonville Jaguars,,,,open,grass,
2025-10-19,Chicago Bears,,,,open,grass,
2025-10-19,Cleveland Browns,,,,open,grass,
2025-10-19,Kansas City Chiefs,,,,open,grass,
2025-10-19,Minnesota Vikings,,,,fixed,artificial,
2025-10-19,New York Jets,,,,open,artificial,
2025-10-19,Tennessee Titans,,,,open,grass,
2025-10-19,Denver Broncos,,,,open,grass,
2025-10-19,Los Angeles Chargers,,,,fixed,artificial,
2025-10-19,Arizona Cardinals,,,,retractable,grass,
2025-10-19,Dallas Cowboys,,,,retractable,artificial,
2025-10-19,San Francisco 49ers,,,,open,grass,
